    time        fR1       fR2       fR3       fR4
    0.8356    0.6466    1.5389    2.5101    3.6265
    0.8425    0.6492    1.5292    2.5106    3.6259
    0.8493    0.6516    1.5196    2.5113    3.6252
    0.8562    0.6540    1.5100    2.5122    3.6246
    0.8630    0.6564    1.5005    2.5131    3.6240
    0.8699    0.6587    1.4910    2.5142    3.6234
    0.8767    0.6609    1.4817    2.5154    3.6228
    0.8836    0.6630    1.4724    2.5168    3.6222
    0.8904    0.6651    1.4632    2.5183    3.6217
    0.8973    0.6671    1.4540    2.5199    3.6212
    0.9041    0.6691    1.4450    2.5216    3.6207
    0.9110    0.6710    1.4360    2.5235    3.6202
    0.9178    0.6727    1.4271    2.5256    3.6198
    0.9247    0.6745    1.4184    2.5277    3.6193
    0.9315    0.6761    1.4097    2.5300    3.6189
    0.9384    0.6777    1.4012    2.5325    3.6185
    0.9452    0.6792    1.3927    2.5350    3.6181
    0.9521    0.6806    1.3843    2.5377    3.6177
    0.9589    0.6819    1.3761    2.5405    3.6174
    0.9658    0.6832    1.3680    2.5435    3.6170
    0.9726    0.6844    1.3599    2.5465    3.6167
    0.9795    0.6855    1.3520    2.5497    3.6164
    0.9863    0.6865    1.3443    2.5530    3.6161
    0.9932    0.6874    1.3366    2.5564    3.6159
    1.0000    0.6883    1.3291    2.5599    3.6156
    1.0068    0.6892    1.3216    2.5635    3.6154
    1.0137    0.6899    1.3143    2.5672    3.6152
    1.0205    0.6906    1.3072    2.5709    3.6149
    1.0274    0.6912    1.3002    2.5748    3.6147
    1.0342    0.6918    1.2933    2.5787    3.6146
    1.0411    0.6923    1.2865    2.5826    3.6144
    1.0479    0.6927    1.2799    2.5867    3.6142
    1.0548    0.6931    1.2734    2.5907    3.6141
    1.0616    0.6935    1.2670    2.5948    3.6139
    1.0685    0.6938    1.2608    2.5989    3.6138
    1.0753    0.6940    1.2548    2.6031    3.6137
    1.0822    0.6942    1.2489    2.6072    3.6136
    1.0890    0.6944    1.2431    2.6114    3.6134
    1.0959    0.6945    1.2375    2.6155    3.6134
    1.1027    0.6946    1.2320    2.6196    3.6133
    1.1096    0.6947    1.2267    2.6237    3.6132
    1.1164    0.6947    1.2215    2.6277    3.6131
    1.1233    0.6947    1.2165    2.6318    3.6130
    1.1301    0.6947    1.2117    2.6357    3.6130
    1.1370    0.6946    1.2070    2.6396    3.6129
    1.1438    0.6946    1.2025    2.6434    3.6129
    1.1507    0.6945    1.1982    2.6472    3.6128
    1.1575    0.6944    1.1940    2.6508    3.6128
    1.1644    0.6943    1.1899    2.6544    3.6128
    1.1712    0.6942    1.1861    2.6579    3.6127
    1.1781    0.6941    1.1824    2.6612    3.6127
    1.1849    0.6939    1.1788    2.6645    3.6127
    1.1918    0.6938    1.1755    2.6676    3.6126
    1.1986    0.6936    1.1723    2.6707    3.6126
    1.2055    0.6935    1.1692    2.6735    3.6126
    1.2123    0.6933    1.1663    2.6763    3.6126
    1.2192    0.6932    1.1636    2.6789    3.6126
    1.2260    0.6930    1.1611    2.6814    3.6126
    1.2329    0.6929    1.1587    2.6838    3.6126
    1.2397    0.6928    1.1564    2.6860    3.6126
    1.2466    0.6926    1.1543    2.6881    3.6126
    1.2534    0.6925    1.1524    2.6901    3.6126
    1.2603    0.6924    1.1506    2.6918    3.6125
    1.2671    0.6923    1.1490    2.6935    3.6125
    1.2740    0.6922    1.1475    2.6951    3.6125
    1.2808    0.6921    1.1461    2.6964    3.6125
    1.2877    0.6920    1.1449    2.6977    3.6125
    1.2945    0.6919    1.1438    2.6989    3.6125
    1.3014    0.6918    1.1428    2.6999    3.6125
    1.3082    0.6918    1.1419    2.7008    3.6125
    1.3151    0.6917    1.1412    2.7015    3.6125
    1.3219    0.6917    1.1405    2.7022    3.6125
    1.3288    0.6916    1.1400    2.7028    3.6125
    1.3356    0.6916    1.1395    2.7032    3.6125
    1.3425    0.6916    1.1392    2.7036    3.6125
    1.3493    0.6916    1.1389    2.7039    3.6125
    1.3562    0.6916    1.1387    2.7042    3.6125
    1.3630    0.6915    1.1385    2.7043    3.6125
