193.00	-11.20	  0.28
194.00	-11.15	  0.28
195.00	-11.09	  0.28
196.00	-11.04	  0.28
197.00	-10.99	  0.28
198.00	-10.93	  0.28
199.00	-10.88	  0.29
200.00	-10.82	  0.29
201.00	-10.77	  0.29
202.00	-10.72	  0.29
203.00	-10.66	  0.29
204.00	-10.61	  0.29
205.00	-10.56	  0.30
206.00	-10.51	  0.30
207.00	-10.45	  0.30
208.00	-10.40	  0.30
209.00	-10.35	  0.30
210.00	-10.30	  0.31
211.00	-10.25	  0.31
212.00	-10.19	  0.31
213.00	-10.14	  0.31
214.00	-10.09	  0.31
215.00	-10.04	  0.31
216.00	 -9.99	  0.32
217.00	 -9.94	  0.32
218.00	 -9.89	  0.32
219.00	 -9.83	  0.32
220.00	 -9.78	  0.32
221.00	 -9.73	  0.33
222.00	 -9.68	  0.33
223.00	 -9.63	  0.33
224.00	 -9.58	  0.33
225.00	 -9.53	  0.33
226.00	 -9.48	  0.34
227.00	 -9.43	  0.34
228.00	 -9.38	  0.34
229.00	 -9.33	  0.34
230.00	 -9.28	  0.34
231.00	 -9.23	  0.35
232.00	 -9.18	  0.35
233.00	 -9.13	  0.35
234.00	 -9.09	  0.35
235.00	 -9.04	  0.35
236.00	 -8.99	  0.36
237.00	 -8.94	  0.36
238.00	 -8.89	  0.36
239.00	 -8.84	  0.36
240.00	 -8.79	  0.36
241.00	 -8.74	  0.37
242.00	 -8.70	  0.37
243.00	 -8.65	  0.37
244.00	 -8.60	  0.37
245.00	 -8.55	  0.37
246.00	 -8.50	  0.38
247.00	 -8.45	  0.38
248.00	 -8.41	  0.38
249.00	 -8.36	  0.38
250.00	 -8.31	  0.38
251.00	 -8.26	  0.39
252.00	 -8.22	  0.39
253.00	 -8.17	  0.39
254.00	 -8.12	  0.39
255.00	 -8.07	  0.39
256.00	 -8.03	  0.40
257.00	 -7.98	  0.40
258.00	 -7.93	  0.40
259.00	 -7.89	  0.40
260.00	 -7.84	  0.41
261.00	 -7.79	  0.41
262.00	 -7.74	  0.41
263.00	 -7.70	  0.41
264.00	 -7.65	  0.41
265.00	 -7.60	  0.42
266.00	 -7.56	  0.42
267.00	 -7.51	  0.42
268.00	 -7.46	  0.42
269.00	 -7.42	  0.43
270.00	 -7.37	  0.43
271.00	 -7.33	  0.43
272.00	 -7.28	  0.43
273.00	 -7.23	  0.43
274.00	 -7.19	  0.44
275.00	 -7.14	  0.44
276.00	 -7.10	  0.44
277.00	 -7.05	  0.44
278.00	 -7.00	  0.45
279.00	 -6.96	  0.45
280.00	 -6.91	  0.45
281.00	 -6.87	  0.45
282.00	 -6.82	  0.46
283.00	 -6.77	  0.46
284.00	 -6.73	  0.46
285.00	 -6.68	  0.46
286.00	 -6.64	  0.47
287.00	 -6.59	  0.47
288.00	 -6.55	  0.47
289.00	 -6.50	  0.47
290.00	 -6.46	  0.48
291.00	 -6.41	  0.48
292.00	 -6.37	  0.48
293.00	 -6.32	  0.48
294.00	 -6.27	  0.49
295.00	 -6.23	  0.49
296.00	 -6.18	  0.49
297.00	 -6.14	  0.49
298.00	 -6.09	  0.50
299.00	 -6.05	  0.50
300.00	 -6.00	  0.50
301.00	 -5.96	  0.50
302.00	 -5.91	  0.51
303.00	 -5.87	  0.51
304.00	 -5.82	  0.51
305.00	 -5.78	  0.51
306.00	 -5.73	  0.52
307.00	 -5.69	  0.52
308.00	 -5.64	  0.52
309.00	 -5.60	  0.52
310.00	 -5.56	  0.53
311.00	 -5.51	  0.53
312.00	 -5.47	  0.53
313.00	 -5.42	  0.54
314.00	 -5.38	  0.54
315.00	 -5.33	  0.54
316.00	 -5.29	  0.54
317.00	 -5.24	  0.55
318.00	 -5.20	  0.55
319.00	 -5.15	  0.55
320.00	 -5.11	  0.56
321.00	 -5.06	  0.56
322.00	 -5.02	  0.56
323.00	 -4.98	  0.56
324.00	 -4.93	  0.57
325.00	 -4.89	  0.57
326.00	 -4.84	  0.57
327.00	 -4.80	  0.58
328.00	 -4.75	  0.58
329.00	 -4.71	  0.58
330.00	 -4.66	  0.58
331.00	 -4.62	  0.59
332.00	 -4.58	  0.59
333.00	 -4.53	  0.59
334.00	 -4.49	  0.60
335.00	 -4.44	  0.60
336.00	 -4.40	  0.60
337.00	 -4.35	  0.61
338.00	 -4.31	  0.61
339.00	 -4.27	  0.61
340.00	 -4.22	  0.62
341.00	 -4.18	  0.62
342.00	 -4.13	  0.62
343.00	 -4.09	  0.62
344.00	 -4.04	  0.63
345.00	 -4.00	  0.63
346.00	 -3.96	  0.63
347.00	 -3.91	  0.64
348.00	 -3.87	  0.64
349.00	 -3.82	  0.64
350.00	 -3.78	  0.65
351.00	 -3.73	  0.65
352.00	 -3.69	  0.65
353.00	 -3.64	  0.66
354.00	 -3.60	  0.66
355.00	 -3.56	  0.66
356.00	 -3.51	  0.67
357.00	 -3.47	  0.67
358.00	 -3.42	  0.67
359.00	 -3.38	  0.68
